No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"3846","OHCB","Clas Ohlson AB (publ)","1.75B","27.56","-0.14%","1.10B"
"3847","OCT","Innospec Inc.","1.75B","69.00","0.73%","1.52B"
"3848","S4Y","Stock Yards Bancorp, Inc.","1.75B","58.00","-0.85%","322.71M"
"3849","871","Argan SA","1.75B","66.50","0.45%","246.94M"
"3850","4LJ","UOB-Kay Hian Holdings Limited","1.75B","1.760","1.15%","437.95M"
"3851","2N8","Global Net Lease, Inc.","1.75B","7.75","0.89%","640.36M"
"3852","CP9","Cyfrowy Polsat S.A.","1.74B","3.062","-0.94%","3.41B"
"3853","1AD1","AddLife AB (publ)","1.74B","14.18","-1.25%","952.18M"
"3854","2ED","SolarEdge Technologies, Inc.","1.74B","29.17","-0.80%","890.91M"
"3855","2ZP","Avio S.p.A.","1.74B","39.00","4.00%","549.03M"
"3856","ILZ","Iluka Resources Limited","1.74B","3.655","3.78%","624.35M"
"3857","PQ2","Photronics, Inc.","1.74B","26.79","-6.03%","736.34M"
"3858","6IC","Iridium Communications Inc.","1.74B","16.47","2.68%","742.96M"
"3859","4R0","Oxford Nanopore Technologies plc","1.74B","1.762","-0.45%","238.79M"
"3860","NSZ","NetScout Systems, Inc.","1.74B","23.86","-2.13%","735.34M"
"3861","AF8","AF Gruppen ASA","1.74B","15.58","0.13%","2.67B"
"3862","TAX","Takara Holdings Inc.","1.74B","8.85","-1.67%","2.15B"
"3863","SIU","Stewart Information Services Corporation","1.73B","59.00","-","2.38B"
"3864","6FLA","Seazen Group Limited","1.73B","0.222","0.91%","9.20B"
"3865","KK0","NextNav Inc.","1.73B","12.10","-0.82%","4.72M"
"3866","WE1","Werner Enterprises, Inc.","1.73B","28.20","2.92%","2.55B"
"3867","BV0","Bravida Holding AB (publ)","1.73B","8.40","0.96%","2.57B"
"3868","1R4","The Law Debenture Corporation p.l.c.","1.73B","12.60","-3.08%","294.60M"
"3869","A41","Addus HomeCare Corporation","1.73B","95.00","0.53%","1.15B"
"3870","ELXA","AB Electrolux (publ)","1.72B","11.50","-0.86%","12.13B"
"3871","F5U","Cellcom Israel Ltd.","1.72B","10.00","-4.76%","1.10B"
"3872","2LS","PT Siloam International Hospitals Tbk","1.72B","0.118","-0.84%","638.79M"
"3873","TBT","Tokuyama Corporation","1.72B","23.60","0.85%","1.97B"
"3874","JP71","Havas N.V.","1.72B","17.23","0.73%","2.91B"
"3875","2PW","Hazama Ando Corporation","1.72B","10.80","1.89%","2.53B"
"3876","FOJ1","Premier Foods plc","1.71B","1.920","1.05%","1.32B"
"3877","8MP","Monadelphous Group Limited","1.71B","16.90","1.81%","1.21B"
"3878","HW4","Hanwa Co., Ltd.","1.71B","44.00","-0.90%","14.83B"
"3879","UFP","UFP Technologies, Inc.","1.71B","222.80","3.44%","509.63M"
"3880","52SA","Systemair AB (publ)","1.71B","7.93","-0.25%","1.13B"
"3881","7EX","Enerflex Ltd.","1.71B","13.90","-","2.14B"
"3882","M8E","Montea Comm. VA","1.70B","72.80","-0.68%","158.18M"
"3883","GI3","Gimv NV","1.70B","45.30","0.11%","270.68M"
"3884","3UF","Cimpress plc","1.70B","59.50","6.25%","2.95B"
"3885","7T2","Talos Energy Inc.","1.70B","9.35","0.15%","1.60B"
"3886","J2A","Willdan Group, Inc.","1.70B","108.00","4.85%","555.11M"
"3887","MEL","Meliá Hotels International, S.A.","1.70B","7.89","-0.25%","2.08B"
"3888","HHFA","Hamburger Hafen und Logistik Aktiengesellschaft","1.70B","22.50","-","1.76B"
"3889","HHFB","Hamburger Hafen und Logistik Aktiengesellschaft","1.70B","10.90","0.93%","1.76B"
"3890","0BX","Bright Smart Securities & Commodities Group Limited","1.70B","0.960","2.67%","128.39M"
"3891","B3H","Boralex Inc.","1.70B","16.45","1.23%","506.65M"
"3892","BO4","Borregaard ASA","1.70B","16.42","-0.12%","650.57M"
"3893","NVAK","Thanachart Capital Public Company Limited","1.70B","1.540","-4.94%","312.60M"
"3894","Z2J","Worthington Steel, Inc.","1.70B","30.05","4.34%","2.82B"
"3895","UCE","Ultra Clean Holdings, Inc.","1.70B","31.60","6.04%","1.80B"
"3896","A1B","Ashmore Group Plc","1.69B","2.145","-4.45%","166.12M"
"3897","CMN1","Chemring Group PLC","1.69B","6.40","-1.54%","566.51M"
"3898","BLZ","Bure Equity AB (publ)","1.69B","22.18","0.64%","-480.20M"
"3899","SQE","Strategic Education, Inc.","1.69B","70.50","2.92%","1.07B"
"3900","AKG","The Andersons, Inc.","1.69B","47.14","1.03%","9.88B"
"3901","4FZ","Orbia Advance Corporation, S.A.B. de C.V.","1.69B","0.840","-2.33%","6.41B"
"3902","LHU","LeMaitre Vascular, Inc.","1.69B","73.00","2.82%","205.29M"
"3903","IKAP","Aurinia Pharmaceuticals Inc.","1.69B","13.04","-3.84%","226.55M"
"3904","49K","KOSE Holdings Corporation","1.69B","28.20","3.68%","1.87B"
"3905","7GL","Alphawave IP Group plc","1.69B","2.100","-0.24%","272.12M"
"3906","89M","Seiko Group Corporation","1.68B","40.60","2.01%","1.81B"
"3907","4KK1","Electrolux Professional AB (publ)","1.68B","5.79","-1.36%","1.12B"
"3908","IMA","IMAX Corporation","1.68B","30.60","-1.27%","321.89M"
"3909","5I4","Bakkavor Group plc","1.68B","2.540","-1.55%","2.69B"
"3910","LNH","Lancashire Holdings Limited","1.68B","6.99","0.29%","1.30B"
"3911","ATQP","Vericel Corporation","1.68B","31.20","-4.29%","220.50M"
"3912","M2I2","SigmaRoc plc","1.68B","1.520","-0.65%","1.19B"
"3913","NWK","Northwest Natural Holding Company","1.68B","40.34","1.26%","1.08B"
"3914","LCM","Costamare Inc.","1.68B","13.82","-1.36%","1.78B"
"3915","2B9","Acadian Asset Management Inc.","1.68B","44.80","0.45%","476.69M"
"3916","AN1","Anritsu Corporation","1.68B","11.90","0.85%","641.36M"
"3917","RY2","Dah Sing Banking Group Limited","1.68B","1.180","1.72%","593.05M"
"3918","1WT","WisdomTree, Inc.","1.68B","12.12","6.60%","389.51M"
"3919","57T","LINTEC Corporation","1.67B","25.00","1.63%","1.80B"
